Note,Commentaire
"5,0","« 28 Jours plus tard » n’a servi que d’introduction à sa superbe suite. Effectivement, le premier volet n’est intéressant que pour avoir fait naître cette œuvre magistrale. Cette séquelle, haut de gamme, nous plonge dans un enfer des plus troublants. Et ça grâce à l’imagination impressionnante d’un réalisateur Espagnol…Vraiment ! Chaque nouvel œuvre sortant direct d’un cerveau Espagnol est un pur moment de bonheur. Juan Carlos Fresnadillo, avait déjà fait ses preuves avec « Intacto » mais nous étions en droit de rester sceptique quand au projet de cette suite ! Nous ne pouvions que nous trompe tant cette suite est impeccable et spectaculaire!L’infection vaincue, la reconstruction est mise en route. Chacun essaye de refaire sa vie dans cette ville post apocalypse…Pourtant, tout le monde ignore que quelque part…Le virus cherche à refaire surface…Et attend patiemment que sa rage explose à nouveau…Dramatique, dérangeant, Gore…Branché sur du 12 000 Volts. Ce film va vous clouer sur place ! Ame sensible s’abstenir !!!Les acteurs sont vraiment prodigieux, en particulier Robert Carlyle. Crédible, impressionnant… ! Il joue, ici, LE personnage tragique par excellence…Beaucoup d’empathie pour ce personnage. On peut très facilement s’identifier à lui. On se pose souvent cette question « qu’aurais-je fait à sa place… ? »…Mackintosh Muggleton et Imogen Poots sont également prodigieux !La musique tient également un rôle exceptionnelle…John Murphy signe un score qui fait froid dans le dos.Les effets spéciaux et décors sont à tomber ! Riche en émotions…Amateurs de sensations fortes ! Accrochez vous et laissez vous embarquer dans cette attraction qui vous scotchera dès la première minute !"
"4,0",Cette suite moins gore et plus explosif est pour moi un niveau en dessous que l'original.Mais on y passe un bon moment nottament avec une scene d'ouverture génial.A voir.
"5,0","Chef d'oeuvre total d'un nihilisme sublime. Un rythme implaquable qui ne laisse aucun répit à nous, ''pauvres'' spectateurs. Peut être le film de zombies ultime, le film d'horreur ultime, l'apocalypse ultime au cinéma ! Rien de moins! C'est a ce demandé comment le réalisateur a pu aller aussi loin dans le genre sans effrayer ses financeurs, car le film est si sombre qu'il a reçu un accueil frileux au box-office. Si seulement ce réalisateur avait pu réaliser ''Je suis une légende'' dans la foulée..."
"2,0","L'introduction de cette suite est excellente. Si seulement ça avait été de la même qualité tout du long! Car après ça, le film tombe dans la caricature bête et méchante, le manichéisme idiot, et dans la facilité scénaristique. Tous les rebondissements en deviennent prévisibles, jusqu'à une fin en queue de poisson pas très recherchée. Alors que derrière, la mise en scène est vraiment excitante, tout comme la composition géniale de John Murphy... Là où dans le film de Danny Boyle, on pouvait trouver de l'originalité, il n'en est rien pour ce blockbuster bien formaté, et peu efficace."
"1,0","C'est gore, ça gicle, ça taille et ça viande dans tous les sens! Yahou, dirions-nous? Non, pas du tout. Un bon point kante même, pour une fois que ces foutus zombies savent courir, l'impression initiale de ne pas se faire prendre pour une andouille est appréciable. Cependant le scénario est léger. De plus le coup de l'armée américaine dépassée ''Tirez sans distinction!'', la scène trash au possible de R. Carlyle pétant un câble gravos sur son épouse et l'apothéose l'hélico en mode disqueuse : beurk. A voir les critiques précédentes, le premier opus est autrement mieux, à regarder donc. On verra s'ils ont raison."
"4,0","C'est le prometteur Juan Carlos Fresnadillo qui succède à Danny Boyle pour cette suite très rèussie de ''28 jours plus tard''. La scène d'ouverture ou l'on voit un Robert Carlyle fuyant, poursuivi par une horde de contaminès est magistrale! Une bande son qui dèmènage, une B.O en parfaite osmose avec l'histoire (la mèlodie de John Murphy ''In A Heartbeat'' est juste à tomber par terre), une mise en scène nerveuse dont certaines scènes tournéés caméra à l'èpaule sont très impressionnantes font de ''28 semaines plus tard'' un modèle du genre! Un second volet terrifiant aux multiples scènes gores qui vous glacent le sang et qui vous maintient en haleine du dèbut à la fin! La place est entièrement libre pour un ''28 mois plus tard''..."
"0,5","Aie aie aie!! Non content d'avoir déjà pillé la saga des zombies de Romero pour nous chier la première merde qu'était 28 jours plus tard, Danny Boyle remet le couvert en déléguant cette fois ci la réalisation de ce sommet de nullité à un réalisateur espagnol inconnu au bataillon! Repompant le master de Pittsburgh avec cette histoire de ville bunker sous tutelle Américaine (comme dans land of the dead) 28 semaines plus tard, faute d'avoir un scenario digne de ce nom, s'évertue à maintenir la pression à grand renfort de scènes chocs, que seule la crédulité visiblement sans bornes d'un publique déjà acquis à la cause accrédite encore dans son postulat d'être un film original à part entière (pour tous les autres ça s'appelle du foutage de gueule!) Peu importe donc que l'histoire soit truffée d'incohérences (la mère qui, à défaut de s'être fait déchiquetée comme les autres, se fait gentiment mordre le bras!) de facilités scénaristiques débiles (le contaminé Robert Carlyle, seul zombie ''intelligent'' qui sélectionne ses proies et utilise sa carte d'accès pour se balader tranquillement!) jusqu'au final à la pointe de l'absurdité (le même papa zombie qui attend tout seul que ses enfants, sur la centaine de stations de métro de Londres, choisissent justement celle où il se trouve pour se cacher des méchants snipers!) sans parler de tout ces éléments débiles, comme le fait que les zombies meurent d'avoir respiré un gaz toxique (auquel les héros échapperont en se réfugiant dans une voiture visiblement hermétique!) les mêmes zombies supposé mourir de faim mais s'accommodant fort bien d'avoir été coupé en deux par un hélicoptère! Bref,du bon gros n'importe quoi du moment que ça continue de gicler, de hurler, de trucider, sans que tout le reste ne semble avoir la moindre importance.Vous voilà prévenu!"
"3,5","28 semaines plus tard : Suite du célèbre film d’infecté de Danny Boyle. Et il faut dire qu’elle est plutôt bonne, même efficace et plus rythmé, on est directement dedans contrairement au premier. Bon, l’approche est assez différente ce qui va porter votre préférence sur le premier ou deuxième opus. Car cette fois ci, le virus a était neutralisé et pendant 28 semaine, Londres va se reconstruire mais les militaires ont promis que si cela revenez, ils appliqueront le code rouge : extermination de la ville et malheureusement c’est ce qui vont faire. Donc, c’est assez horrible de voir des survivants se faire allumé par des humains alors qu’ils auraient pu s’en sortir… Donc, cela instaure une ambiance de tension et de suspense assez maitrisé avec des infectés qui sont très rapides comparés aux zombies. Mais c’est dommage car l'ambiance est plombé par une réalisation caméra à l’épaule ou ça tremble de partout et donc pendants les moments d’adrénaline, on voit rien. Sinon, revenons au scénario, le film commence par une magnifique scène qui est assez cruel mais par contre la fin fin, plan sur Paris, il aurait pu éviter, peut être une éventuel suite… à voir. Après, les musiques sont bien choisit mais un peu trop répétitifs. Et pour finir, les acteurs sont convaincants, rien à dire et on a le droit a deux acteurs connus : Robert Carlyle (Le monde ne suffit pas) et Jeremy Renner (Avengers). Donc voila, un film d’infecté prenant du début jusqu'à la fin."
"4,0","La suite de la bombe de Danny Boyle sortie en 2002. Et autant le dire tout de suite, elle n'a pas à rougir de la comparaison avec l'original. Et pour cause, le réalisateur a changé et, de ce fait, la vision est différente. On se retrouve catapulté dans un Londres qui commence peu à peu à retrouver vie, vu que le virus est quasiment décimé. L'armée américaine a prit place et quadrille la zone, afin d'empêcher tout retour de l'épidémie. Evidemment, cette dernière va bientôt repointer le bout de son nez. On suit, contrairement au premier volet, deux enfants dont le père a échappé de justesse à la mort mais pas sa femme. Fresnadillo créé une ambiance de menace constante, et rend compte du chaos avec des séquences d'assauts absolument effrayantes. Pour faire simple, on dirait que la folie contamine la caméra aussitôt qu'un contaminé apparaît. Ce deuxième volet creuse le sillon commencé par 28 jours plus tard, et s'attarde à montrer l'incapacité pour les soldats à contrer les enragés, et leur prise de décision inhumaine. Un parallèle plus qu'intéressant avec la guerre en Irak. Comme Les Fils de l'Homme, le film s'intéresse surtout à la fuite constante des principaux protagonistes, qui se retrouvent traqués par tout le monde. Les acteurs sont géniaux: Carlyle est impressionnant, tout en ambigüité et en remords; Jeremy Renner est un vraie révélation; Rose Byrne confirme qu'elle est une excellente comédienne; N'oublions pas les deux principaux personnages (les enfants de Carlyle) qui sont magistralement campés. Contrairement à ce qu'on pourrait penser, la suite n'est aussi bonne que si elle diffère un tant soit peu de l'original, et c'est le cas ici. On attend, au vu du dénouement, le troisième volet avec impatience."
"5,0",Une suite à 28 jours plus tard encore plus violente et plus effrayante. Jubilatoire. A voir d'urgence.
"5,0","tout comme le premier volet,ce film c'est de la bombe avec un scenario toujour aussi captivant,si vous etes fan des morts vivants nhèsitez pas a regardez celui la je vous le recommande,4 etoiles pour cette merveille."
"5,0","Aussi bon que son prédécesseur, avec un Robert Carlyle très inquiétant, peu importe les défauts du film, pour moi, il est culte, tout comme le premier opus. Les Britanniques ont fait très fort avec cette franchise. A quand un troisième opus?"
"0,5","Loin de l'originalité du premier opus, le réalisateur s'est contenté de reprendre l'idée de départ, de l'épurer pour en faire un film d'horreur vu 1000 fois."
"5,0","28 semaines plus tard, un miracle ! Un film de zombie surprenant et flippant avec un excellent Carlyle !"
"4,0","Bien plus noir et plus gore que le premier opus, cette suite est parfaitement anxiogène et terrifiante à bien des égards ! Le scénario est un peu prévisible cest vrai, mais la mise en scène est géniale et la BO toujours aussi entraînante. Un vrai bon film de zombie à ne pas rater !"
"1,0","Une course poursuite pour la vie dans ce thriller/épouvante pas trop réussi, le scénario vire du banal au grotesque tout comme certaines scènes dont on se serait vraiment passé, on saluera tout de même quelques originnalités dans la mise en scène. A cela s'ajoute un grand déséquilibre dans la prestation des acteurs entre le bon et le très mauvais. Pas indispensable ..."
"5,0",Dans la lignée du second. Mais ce côté militaire là m'a davantage passionné et quel début !!
"3,5","Cinq ans auront été nécessaire pour voir arrivé une suite à 28 Jours Plus Tard avec ce 28 Semaines Plus Tard qui pour l'occasion change de réalisateur. Malheureusement toutes ces années entre les deux n'auront servi à rien car cette suite possède les mêmes qualités et les mêmes défauts que le premier ce qui est vraiment dommage. L'histoire est peut-être plus intéressante ici car c'est plus développés avec des personnages qui sont unis dans leurs relations. C'est toujours aussi oppressant et angoissant par moments avec une b.o. très bien utilisé et beaucoup plus présente que dans l'original. Malgré ça même si le thème principal est très jolie c'est un peu répétitif. Les infectés son toujours de la partie et font toujours aussi flippé. D'ailleurs ils sont un peu plus nombreux ce qui fait que l'on perd en impression de solitude et de vide des villes mais on gagne en sang et autres liquides qui giclent. Les acteurs, eux ne sont pas toujours convaincants même si dans l'ensemble ça va et que j'ai particulièrement apprécié Rose Byrne. Mais le plus gros problème pour moi vient encore de la réalisation qui a changer de main mais qui est toujours aussi inégal. C'est très souvent trop rapide et du coup on capte rien et j'ai horreur de ça. C'est dommage car la photographie de Londres est belle. J'ai quand même adoré la scène 
spoiler: 
ou Don embrasse sa femme puis se transforme
. C'est une belle scène et un moment prenant. Malheureusement il y a seulement deux ou trois fulgurance du genre dans le film. A noter aussi des effets spéciaux inégaux ou l'on se demande parfois si le film est sorti en 2007. Par contre sur la longueur j'ai eu du mal et j'ai un peu décroché dans les 30 dernières minutes à cause de cette réalisation fatigante mais les cinq dernières minutes m'ont redonner de l’intérêt avec ce superbe plan sur 
spoiler: 
le stade de Wembley et ce plan final sur la place du Trocadéro ou l'on voit la tour Eiffel
. C'est une fin qui donne envie d'en voir plus et donc une bonne fin. Au final 28 Semaines Plus Tard n'est n'y meilleur n'y moins bon que son prédécesseur et apporte quand même quelque chose qui fait que si vous avez apprécié le premier, vous aimerez surement celui la."
"4,5","Un cas de suite plus réussi que l original. 28 semaines plus tard est plus efficace, plus prenant que le premier opus traitant d une épidémie terrible en Grande Bretagne. A l image d une scène d ouverture extraordinaire, vraiment une des meilleures que j ai pu voir dans un film de zombies/infectés. Cette suite est encore plus brutale et désespérée que le premier épisode dressant un miroir peu reluisant sur la nature humaine: lâche, égocentrique, pensant pouvoir tout maîtriser tout dominer. Car 28 semaines ne se contente pas d accumuler des scènes gores (d excellentes qualités) mais cherche à dénoncer les travers de la société d une manière que n aurait sûrement pas renié George Romero, du très très bon cinéma de genre !"
"4,5","La suite de « 28 jours plus tard » réussit la prouesse de faire mieux que son vénérable grand frère et ce n'était pas gagné d'avance. Pourtant, il suffit de quelques minutes de visionnage pour comprendre que « 28 semaines plus tard » relève le défi haut la main. Techniquement, la réalisation est de grande qualité, l'action omniprésente est encore accrue par un montage hyper nerveux, à la limite de l'hystérie et les zombies sont plutôt réalistes. Rapides comme l'éclair, leurs morsures transmettent la maladie en une fraction de seconde et l'épidémie s'étend beaucoup plus vite que dans les autres films du genre. Sur le fond, c'est la même chose. Tout est décuplé et le message tissé en filigrane est proprement terrifiant. Les soldats sont vite contraints de tirer dans la foule, n'épargnant personne pour sauver leur peau. La déshumanisation et le chaos comme ultime barrière contre une vague de morts vivants impossible à stopper... ça fiche vraiment la frousse, d'autant que ça ne paraît pas si insensé, quand on y réfléchit deux minutes. Quel film mes amis, faut faire gaffe à la grippe aviaire on ne sait jamais, héhé !"
"3,5","« 28 semaines plus tard » est un très bon film de zombies. L’action est bien orchestrée, l’intrigue est correcte. Le rythme est bon. Les acteurs offrent des prestations à la hauteur de leur réputation. Les fusillades sont bien réalisées et les effets spéciaux sont corrects. Cette suite est d’un niveau nettement supérieur au premier film paru en 2002. À voir sans hésiter !"
"0,5","La première scène est terrible puis c'est le néant avec un scénar ridicule et une suite de tueries sanglante vu 1 milliard de fois et juisqu'a la fin que l'on devine assez facilement. Mention spécial à la scène ou avec un soldat tous les 2 mètres, 2 gamins réussisent à s'échapper de la zone contrôlé. Et dire qu'il vont faire 28 mois plus tard, 28 ans après, 28 siècles ensuite, 28 millions d'années et des plost......................"
"1,0","Sorti sous les dithyrambes de la critique française, 28 semaines n'est pas la bombe de terreur annoncée...Passé un premier quart d'heure époustouflant et à la mise en scène soignée, on s'enlise dans un grand n'importe quoi scénaristique à la mise en scène systématiquement épileptique qui file davantage la migraine que la trouille.Le premier opus n'était pas parfait mais il avait le grand mérite de traiter son sujet de front et sans chichis : Les zombies attaquent... SAUVE QUI PEUT !Ici on se coltine une espèce de machin lourdingue sur la famille et la nature humaine (et parait t'il aussi sur l'intervention US en Irak...) qui, outre le fait d'être souvent gonflant, s'avère souvent peu crédible...Papa zombie qui piste sa progéniture durant la moitié du film est un des nombreux exemples de l'absurdité du scénario...Mais une des scènes finales, dans l'obscurité d'un escalator de métro avec un fusil infra rouge pour seul guide atteint des sommets d'artificialité et fait davantage penser à un jeu vidéo qui pourra en être adapté qu'à du cinoche... Juan Carlos Fresnadillo devrait revoir d'urgence The Descent et La nuit des morts vivants, tant qu'il y est...Le filmage constant caméra à l'épaule est, lui, beaucoup trop systématique pour être vraiment efficace... S'il opère à merveille durant les scènes d'attaques, il est totalement horripilant pendant les scènes d'exposition et il montre, à retardement, combien la mise en scène de Danny Boyle dans le 1er volet était subtile.Un exemple édifiant: dans 28 jours, on découvrait Manchester en flamme, d'abord dans le regard consterné des protagonistes, puis dans l'élargissement du plan, on découvrait la ville au loin, au bout de la route, dominée par les flammes.. Dans 28 semaines, c'est tout le coeur de Londres qui est bombardé au napalm et filmé en surabondance par hélicoptère façon Independance day... C'est spectaculaire, certes, mais si ennuyeux.Bref, un réalisateur de film d'horreur espagnol surestimé...un de"
"1,5","Autant la mayonnaise avait plutôt prise sur le premier volet réalisé par Danny Boyle, autant cette pale suite est vraiment sans intérêt et il est difficile de comprendre comment 28 Weeks Later peut obtenir une note supérieure par rapport à son prédécesseur tant les défauts et les manques sont ici criants.Le scénario est plus que médiocre, linéaire et sans surprise. Il s'appuie sur beaucoup d'illogismes, d'incohérences et de lourds clichés qui pénalisent grandement la crédibilité de l'intrigue, qui part ailleurs ne présente que peu d'intérêt. On ne sait pas trop vers quoi court ce groupe, mais il court et on a vite fait de comprendre, au bout de 45 minutes seulement, le bourbier dans lequel on s'est engagé. Même la réalisation, qui était le grand point fort du premier opus, est mauvaise, Fresnadillo usant et abusant de plans beaucoup trop frénétiques.Le seul point positif qu'on pourrait tirer de ce film, sont les décors d'une Londres encore une fois désertée qui font toujours leur petit effet."
"5,0","Après une période de quarantaine causée par un virus meurtrier, l'armée US prend position de Londres afin de commencer la reconstruction du pays. Des habitants sont autorisés à revenir dans la ville. Mais, la contamination reprend de plus belle. Les personnes atteintes par le virus ont la rage. Fous furieux, les contaminés se transforment en meurtriers sanguinaires. Attention, il y a beaucoup de scènes gore, souvent inédites, comme ce groupe de contaminés haché menu par les pales d'un hélicoptère. ''28 semaines plus tard'' rappelle les films de zombies à la G.A Romero tout en renouvelant intelligemment le genre. J'avoue avoir eu peur dès la scène d'ouverture où 
spoiler: 
un petit groupe enfermé dans le noir à l'intérieur d'une maison craint d'être repéré par ''quelque chose'' à l'extérieur. Puis, c'est la ruée. Un survivant est poursuivi dans la campagne anglaise par un groupe de créatures folles furieuses
. Selon moi, c'est l'un des films les plus flippants de ces dernières années. Bonus : 
spoiler: 
une fin très pessimiste sur la place du Trocadéro devant la Tour Eiffel 
et une superbe interprétation de l'acteur anglais Robert Carlyle."
"3,0","N'ayant pas vu le premier opus, je ne pourrais m'oser à une comparaison. Ceci dit, je dois avouer avoir été légèrement déçu par ces ''28 semaines plus tard''. En effet, Fresnadillo n'échappe pas au système et se compromet lui aussi dans les effets saccadés, épileptiques et qui, une fois n'est pas coutume, nuit plus au film qu'autre chose. Toutefois, force est de reconnaitre que se dégage du film un certain impact. Fresnadillo arrive à dresser de manièe assez habile une société qui semble en pleine déliquescence, dénoncant au passage les conséquences de la panique collective. De plus, l'ensemble très anti-militariste arrive tout de même à nous offrir de forts belles séquences d'action, tout comme les scènes vides de Londres, impressionnantes il est vrai. La musique envoutante ne fait que renforcer cette impression. On regrette alors encore plus que Fresnadillo se soit plié à ces quelques facilités très en vogue ces derniers temps, et ne soit pas forcément allé jusqu'au bout de sa réflexion. Un peu décevant donc, mais tout de même une assez belle réussite du genre."
"4,0","Suite de l'excellent 28 jours plus tard, 28 semaines plus tard se passe quelques mois après que le virus a été éradiqué sauf qu'un jour le virus revient. Robert Carlyle interprète un père de famille transformé très tôt en zombie. Le film est très spectaculaire comparé au précédent. De bons acteurs, un bon scénario, de bons effets spéciaux et maquillages, de bons décors, une bonne musique bref le film est bon et c'est pour cela que j'ai décidé de mettre 4/5. A voir!!!!!!!!!!!!!!!!!!!!!!"
"4,0",Un des meilleurs films de zombies !!! Le déroulement est jouissif et l'action palpitante mais je m'abstiens de mettre 4/4 pour quelques défauts plus ou moins gros...
"4,0","Wow, excellent film de zombies, la bande originale est jouissive, la scène d'introduction énorme, le montage de qualité, et les hors champs pas si nombreux que ça, et le décors renversants!"
"5,0","excellent, térrifiant, magnifique suite, quelques ficelles deja vues en effet, mais le duo 28 jours plus tard et 28 semaines plus tard reste une série à voir et à revoir, c'est toujours un plaisir... et des palpitations"
"0,5","Bousasse new age qui n'a ni queue, ni tête. Film à jeter 
spoiler: 
(j'ai jeté le DVD à la poubelle) 
Fuyez!"
